,Recipe_title,servings,ingredients,stars,Num_of_reviews
47,Plain Pound Cake,2 loaf cakes,"['1/2 pound (2 sticks) unsalted butter, at room temperature', '2 cups granulated sugar', '4 extra-large eggs, at room temperature', '3 cups all-purpose flour', '1/2 teaspoon baking powder', '1/2 teaspoon baking soda', '1 teaspoon kosher salt', '3/4 cup buttermilk, at room temperature', '1 teaspoon pure vanilla extract']",5,88
48,Hummingbird Cake,10 to 12 servings,"['Unsalted butter, for greasing', '2 3/4 cups all-purpose flour, plus more for dusting', '1 cup pecan pieces', '3 ripe bananas, chopped', '1/2 cup finely chopped fresh pineapple', '1 teaspoon ground cinnamon', '1/2 teaspoon freshly grated nutmeg', '1/2 teaspoon ground ginger', '1 1/4 teaspoons baking soda', '1/2 teaspoon salt', '3 large eggs, at room temperature', '1 3/4 cups granulated sugar', '1 cup vegetable oil']",5,101
49,Chocolate Sheet Cake,24 servings,"['2 cups all-purpose flour', '2 cups sugar', '1/4 teaspoon salt', '1/2 cup buttermilk', '1 teaspoon baking soda', '1 teaspoon vanilla extract', '2 large eggs', '2 sticks butter', '4 heaping tablespoons cocoa powder', '1 3/4 sticks butter', '4 heaping tablespoons cocoa powder', '6 tablespoons milk', '1 teaspoon vanilla extract', '1 pound powdered sugar', '1/2 cup finely chopped pecans, optional']",4.5,182
50,Chocolate Peanut Butter Cakes,16 servings,"['Nonstick cooking spray', '2 cups all-purpose flour\\xa0', '1 1/2 teaspoons baking powder\\xa0', '3/4 teaspoon baking soda\\xa0', '1/2 teaspoon fine salt\\xa0', '1 cup buttermilk\\xa0', '1/4 cup vegetable oil\\xa0', '1 1/2 teaspoons vanilla extract\\xa0', '3 large eggs\\xa0', '1 3/4 cups sugar\\xa0', '1 1/2 cups smooth peanut butter, warmed\\xa0', '2 cups milk chocolate chips\\xa0']",5,14
51,Tres Leche Cake,12 servings,"['1 cup all-purpose flour', '1\xa01/2\xa0teaspoons baking powder', '1/4\xa0teaspoon salt', '5 large eggs, separated', '1 cup sugar', '1/3 cup milk', '1 teaspoon vanilla extract', '1/4\xa0cup heavy cream', 'One 14-ounce can sweetened condensed milk', 'One 12-ounce can evaporated milk', '1 pint heavy cream, for whipping', '3 tablespoons sugar', 'Maraschino cherries, to decorate']",5,140
52,Savarin Cake with Vanilla-Grand Marnier Syrup,8 to 10 servings,"['1/3 cup water', '2 tablespoons cream', '2 1/4 teaspoons active dry yeast (1/4 ounce package)', '1/4 cup sugar (1 3/4 ounces)', '1 1/2 cups bread flour (7 1/4 ounces)', '2 large eggs, at room temperature', '1/2 cup (1 stick) unsalted butter, softened', '1 teaspoon finely grated orange zest', 'Generous pinch fine salt', 'Cooking spray', '1/2 cups water', '3/4 cups sugar', '1 whole vanilla bean', '1 cup dessert wine, such as Muscat', '2 tablespoons to 1/4 cups Grand Marnier or other orange flavored liqueur', '3/4 cup heavy cream, whipped', 'Currants or berries']",3.5,5
53,German Chocolate Cake - Make My Cake,Tow 9-inch layer cakes or 24 cupcakes,"[""4 ounces baker's chocolate (recommend: Baker's German Sweet Chocolate)"", '1/2 cup water', '2 cups cake flour', '1 teaspoon baking soda', '1/2 teaspoon salt', '1/2 pound unsalted butter, room temperature', '1 teaspoon pure vanilla extract', '1 1/2 cups granulated sugar', '1/2 cup brown sugar', '4 eggs, separated', '1 cup buttermilk', 'Coconut Pecan Filling, recipe follows, or whatever you prefer', 'Favorite chocolate frosting, for the sides', '1 1/2 cups evaporated milk', '5 egg yolks, slightly beaten', '1 cup granulated sugar', '1 cup brown sugar', '2 teaspoons vanilla extract', '1 cup butter', '2 1/2 cups flaked coconut', '2 cups toasted pecans']",4,147
54,Blueberry Coffee Cake,16 servings,"['5 tablespoons salted butter, softened, plus more for greasing the pan', '2 cups all-purpose flour\xa0', '2 heaping teaspoons baking powder\xa0', '1/2 teaspoon ground cinnamon\xa0', '1/2 teaspoon salt\xa0', '3/4 cup sugar\xa0', '1 large egg\xa0', '1/2 teaspoon vanilla extract\xa0', '3/4 cup whole milk\xa0', '2 cups fresh blueberries\xa0', '1/2 cup all-purpose flour', '1/2 cup sugar\xa0', '6 tablespoons salted butter\xa0', '1/2 teaspoon cinnamon\xa0', '1/4 teaspoon salt\xa0', 'Sugar, for sprinkling\xa0', 'Softened butter, for serving']",5,79
55,Very Berry Mug Cake,1 mug cake,"['1/4 cup all-purpose flour', '3 tablespoons sugar\\xa0', '1/4 teaspoon baking powder\\xa0', 'Pinch kosher salt\\xa0', '3 tablespoons milk\\xa0', '2 tablespoons vegetable oil\\xa0', '1 tablespoon clear vanilla\\xa0extract', '3 blueberries, halved\\xa0', '1 strawberry, chopped\\xa0', 'Garnish:\\xa0canned whipped cream\\xa0and 1 strawberry, sliced\\xa0']",4.5,15
56,Strawberry Cake,8 servings,"['Nonstick cooking spray', '2 eggs, at room temperature\\xa0', '1 cup plus 1 tablespoon\\xa0sugar', '1/2 cup reduced-fat Greek yogurt\\xa0', '1/4 cup melted butter, cooled slightly\\xa0', '1 teaspoon pure vanilla extract\\xa0', '1 1/2 cups all-purpose flour\\xa0', '1 1/2 teaspoons baking powder\\xa0', '1/4 teaspoon kosher salt\\xa0', '1 pound strawberries, hulled, half sliced and half halved\\xa0', ""Honey whipped cream, for serving (see Cook\\'s Note)""]",5,35
57,Strawberry Country Cake,2 (8-inch) cakes,"['12 tablespoons (1 1/2 sticks) unsalted butter, at room temperature', '2 cups sugar', '4 extra-large eggs, at room temperature', '3/4 cup sour cream, at room temperature', '1/2 teaspoon grated lemon zest', '1/2 teaspoon grated orange zest', '1/2 teaspoon pure vanilla extract', '2 cups all-purpose flour', '1/4 cup cornstarch', '1/2 teaspoon kosher salt', '1 teaspoon baking soda', '1 cup (1/2 pint) heavy cream, chilled', '3 tablespoons sugar', '1/2 teaspoon pure vanilla extract', '1 pint fresh strawberries, hulled and sliced']",5,114
58,Carrot Cake Recipe,1 cake or 3 (9-inch) layers,"['2 cups granulated sugar', '1 1/2 cups vegetable oil', '4 fresh whole eggs', '2 cups pastry flour', '2 teaspoons baking soda', '1 teaspoon salt', '2 teaspoons ground cinnamon', '3 cups raw finely ground carrots', '4 ounces finely chopped walnuts']",4.5,127
59,Lemon Pound Cake,8 to 10 servings,"['1 1/2 cups all-purpose flour', '1 teaspoon baking powder', '1/2 teaspoon salt', '1 cup (2 sticks) butter, softened at room temperature', '1 cup sugar, plus 1/3 cup', '4 eggs', '2 teaspoons pure vanilla extract', '1/4 cup lemon juice, plus 1/3 cup']",4.5,122
60,Pound Cake,10 to 12 servings,"['16 ounces unsalted butter, cut into pieces and softened, plus 1 tablespoon', '16 ounces cake flour, plus 2 tablespoons', '16 ounces sugar', '9 large eggs, room temperature', '1 teaspoon vanilla extract', '1/2 teaspoon kosher salt']",4.5,114
61,Strawberry Poke Cake,15 servings,"['2 sticks (1 cup) unsalted butter, at room temperature, plus more for greasing the pan', '2 1/2 cups all-purpose flour', '1/2 teaspoon baking powder', '1/2 teaspoon baking soda', '1/2 teaspoon fine salt', '1 1/4 cups buttermilk, well shaken', '2 teaspoons pure vanilla extract', '2 cups sugar', '3 large eggs, at room temperature, lightly beaten', 'One 3-ounce box strawberry gelatin', '2 pounds strawberries', '3 tablespoons sugar', '2 cups heavy cream, cold', '1 tablespoon sugar', '2 teaspoons pure vanilla extract']",4,3
62,Pineapple Upside-Down Cake,8 servings,"['2 1/2 cups all-purpose flour', '1 tablespoon baking powder', '1 teaspoon salt', '2 cups granulated sugar', '1 stick unsalted butter, at room temperature', '1/4 cup vegetable shortening', '1 1/2 cups whole milk', '2 large eggs', '2 teaspoons vanilla extract', '1 20-ounce can sliced pineapple,', '2 tablespoons juice reserved (drink the rest!)', '1 1/3 cups packed light brown sugar', 'Maraschino cherries, stemmed (optional)']",4.5,47
63,Carrot and Pineapple Cake,8 servings,"['2 cups granulated sugar', '1 1/3 cups vegetable oil', '3 extra-large eggs, at room temperature', '1 teaspoon pure vanilla extract', '2 1/2 cups plus 1 tablespoon all-purpose flour, divided', '2 teaspoons ground cinnamon', '2 teaspoons baking soda', '1 1/2 teaspoons kosher salt', '1 cup raisins', '1 cup chopped walnuts', '1 pound carrots, grated', '1/2 cup diced fresh pineapple', '3/4 pound cream cheese, at room temperature', '1/2 pound unsalted butter, at room temperature', '1 teaspoon pure vanilla extract', ""1 pound confectioners' sugar, sifted"", '1/2 cup diced fresh pineapple']",5,642
64,Devil's Food Cake,8 to 10 servings,[],5,59
65,Devil's Cream Cake,12 servings,"['2 cups heavy cream', '2 tablespoons sugar\\xa0', '1 tablespoon vanilla extract\\xa0', '2 tablespoons powdered gelatin\\xa0(two 1/4-ounce packets)', '1 cup whole milk\\xa0', '1 pound bittersweet chocolate, finely chopped\\xa0', 'Nonstick cooking spray', '45 chocolate sandwich cookies, such as Oreo (about one 18-ounce package)', '1 stick (8 tablespoons) unsalted butter, softened\\xa0', 'Whipped cream, for serving']",5,42
66,Strawberry Icebox Cake,8 servings,"['8 ounces cream cheese, softened', '4 cups heavy cream\\xa0', ""3/4 cup confectioners\\' sugar\\xa0"", '1/2 cup strawberry preserves or jelly\\xa0', '2 teaspoons fresh lemon juice\\xa0', '1 teaspoon vanilla extract\\xa0', 'About 16 graham crackers (from 2 sleeves)\\xa0', '2 pounds strawberries, trimmed and sliced\\xa0']",5,9
67,Sour Cream Coffee Cake,8 to 10 servings,"['1/4 cup sugar', '3 packed tablespoons dark brown sugar', '1/2 cup walnuts, toasted and coarsely chopped', '2 teaspoon vanilla extract', '1/2 teaspoon ground cinnamon', ""2 cups unbleached all-purpose flour (see Cook's Note)"", '1 teaspoon baking soda', '1/2 teaspoon fine salt', 'Generous pinch freshly grated nutmeg', 'Generous pinch ground mace', '3/4 cup unsalted butter, plus more for the pan, room temperature', '1 cup sugar', '2 large eggs, room temperature', '1 cup sour cream', '1 1/2 teaspoons vanilla extract']",4.5,22
68,Chocolate and Vanilla Checkered Flag Cake,10 to 12 servings,"['Vanilla and Chocolate Cakes:', 'All-natural nonstick cooking spray, for spraying the cake pans', '3 cups all-purpose flour, plus more for dusting the cake pans\\xa0', '2 cups granulated sugar\\xa0', '2 sticks (1 cup) unsalted butter, softened\\xa0', '5 large eggs\\xa0', '2 tablespoons baking powder\\xa0', '2 teaspoons kosher salt\\xa0', '2 cups whole milk\\xa0', '2 teaspoons vanilla extract\\xa0', '1/2 cup Dutch-processed cocoa', '1/2 cup hot water\\xa0', 'Vanilla Frosting:', ""2 1/2 cups confectioners\\' sugar"", '2 sticks unsalted butter, softened\\xa0', '2 tablespoons heavy cream\\xa0', '1 vanilla bean, split and scraped']",4.5,5
69,Pineapple Upside-Down Cake,8 to 12 servings,"['2 tablespoons unsalted butter', '1/2 cup lightly packed dark brown sugar\xa0', 'One 20-ounce can sliced pineapple, drained and juice reserved\xa0', 'One 20-ounce can crushed pineapple, drained and juice reserved\xa0', '1 1/3 cups all-purpose flour', '2 teaspoons baking powder\xa0', '1/4 teaspoon fine salt\xa0', '1/2 cup whole milk\xa0', '2 teaspoons pure vanilla extract\xa0', '1/4 cup reserved pineapple juice (from the cans)', '3/4 cup granulated sugar\xa0', '1/2 cup unrefined coconut oil\xa0', '1 large egg\xa0']",5,69
70,Birthday Sheet Cake,1 (12x18-inch) cake,"['18 tablespoons (2 1/4 sticks) unsalted butter, at room temperature', '3 cups sugar', '6 extra-large eggs, at room temperature', '8 ounces (about 1 cup) sour cream, at room temperature', '1 1/2 teaspoons pure vanilla extract', '1 lemon, zested', '3 cups all-purpose flour', '1/3 cup cornstarch', '1 teaspoon kosher salt', '1 teaspoon baking soda', '24 ounces semisweet chocolate chips', '1 1/2 cups heavy cream', '2 tablespoons light corn syrup', '1/2 teaspoon pure vanilla extract', '4 tablespoons (1/2 stick) unsalted butter, at room temperature', ""Chocolate candies for decorating (recommended: M&amp;M's)""]",4,119
71,Chocolate Ganache Cake,one 8-inch cake,"['1/4 pound unsalted butter at room temperature', '1 cup sugar', '4 extra-large eggs at room temperature', ""1 1/3 cups Hershey's chocolate syrup"", '1 tablespoon pure vanilla extract', '1 cup all-purpose flour', '1/2 cup heavy cream', '8 ounces good semisweet chocolate chips', '1 teaspoon instant coffee granules', 'Candied violets or edible gold leaf, for decoration (optional)']",4.5,45
72,Old-Fashioned Banana Cake,8 servings,"['3 very ripe bananas, mashed', '3/4 cup granulated sugar', '1/2 cup light brown sugar, lightly packed', '1/2 cup vegetable oil', '2 extra-large eggs, at room temperature', '1/2 cup sour cream', '1 teaspoon pure vanilla extract', 'Grated zest of 1 orange', '2 cups all-purpose flour', '1 teaspoon baking soda', '1/2 teaspoon kosher salt', '1/2 cup coarsely chopped walnuts (optional)', 'Cream Cheese Frosting, recipe follows', 'Walnut halves, for decorating (optional)']",5,163
73,Kardea's Caramel Apple Cake,8 to 10 servings,"['Nonstick cooking spray or unsalted butter, for greasing the pan', '3 cups all-purpose flour, plus more for the pan\xa0', '2 teaspoons ground cinnamon\xa0', '1 teaspoon baking soda\xa0', '1/2 teaspoon ground nutmeg\xa0', '1/2 teaspoon salt\xa0', '3 medium apples (I used a mix of green and Pink Lady apples)\xa0', '1 1/2 cups vegetable or canola oil\xa0', '2 cups granulated sugar\xa0', '1/2 cup dark brown sugar\xa0', '2 teaspoons vanilla\xa0extract', '3 large eggs\xa0', 'One 11-ounce package caramels, preferably Kraft Caramels', '1/4 cup whole milk\xa0']",5,30
74,Blueberry Crumb Cake,6 to 8 servings,"['1/4 cup granulated sugar', '1/3 cup light brown sugar, lightly packed', '1 teaspoon ground cinnamon', '1/8 teaspoon ground nutmeg', '1/4 pound (1 stick) unsalted butter, melted', '1 1/3 cups all-purpose flour', '6 tablespoons unsalted butter, at room temperature (3/4 stick)', '3/4 cup granulated sugar', '2 extra-large eggs, at room temperature', '1 teaspoon pure vanilla extract', '1/2 teaspoon grated lemon zest', '2/3 cup sour cream', '1 1/4 cups all-purpose flour', '1 teaspoon baking powder', '1/4 teaspoon baking soda', '1/2 teaspoon kosher salt', '1 cup fresh blueberries', ""Confectioners' sugar for sprinkling""]",5,574
75,Wacky Cake,16 servings,"['1 1/2 cups flour', '3 tablespoons Dutch process cocoa powder', '1/2 teaspoon salt', '1 cup sugar', '1 teaspoon baking soda', '2 teaspoons vanilla', '1 teaspoon white vinegar', '6 tablespoons vegetable oil', '1 cup cold water']",5,21
76,Strawberry Shortcake Cake,10 servings,"['9 tablespoons unsalted butter, softened, plus more for greasing', '1 1/2 cups all-purpose flour, plus more for dusting', '3 tablespoons cornstarch', '1 teaspoon baking soda', '1/2 teaspoon salt', '1 1/2 cups plus 2 tablespoons granulated sugar', '3 large eggs', '1/2 cup sour cream, at room temperature', '1 teaspoon vanilla extract', '1 pound strawberries, plus more to garnish, optional', '1 1/2 pounds powdered sugar, sifted', '8 ounces cream cheese, at room temperature', '2 sticks unsalted butter, softened', '1 teaspoon vanilla extract', 'Dash salt']",4,54
77,Lemon Love Cake,15 slices,"['Unsalted butter, for greasing', 'All-purpose flour, for dusting', 'One 16.5-ounce package lemon cake mix\\xa0', '1 lemon, zested and juiced\\xa0', 'One 32-ounce container part-skim ricotta', 'Two 8-ounce containers mascarpone', '4 large eggs\\xa0', '3/4 cup sugar\\xa0', '1 teaspoon vanilla extract\\xa0', '1 cup whole milk\\xa0', 'One 3.4-ounce package lemon instant pudding mix, such as Jell-O']",4,57
78,Root Beer Bundt Cake,8-10 servings,"['1 stick unsalted butter, plus more for the pan', '2 cups all-purpose flour, plus more for dusting', '2 1/2 cups root beer', '1 cup unsweetened cocoa powder', '2 ounces bittersweet chocolate, chopped', '1 cup granulated sugar', '1/2 cup packed dark brown sugar', '1 1/4 teaspoons baking soda', '1/2 teaspoon ground allspice', '1 teaspoon salt, plus a pinch', '3 large eggs, beaten', ""2 1/2 cups confectioners\\' sugar"", '1 teaspoon vanilla extract']",4.5,15
79,The Best Chocolate Cake,10 servings,"['Nonstick\xa0baking\xa0spray', '1\xa01/4 cup Dutch-process cocoa, plus more for dusting\xa0', ""2 1/4 cups all-purpose flour\xa0(see Cook's Note)\xa0"", '2 1/4 teaspoons baking soda\xa0', '1 teaspoon baking powder\xa0', '1 large egg,\xa0at\xa0room temperature\xa0', '2 large egg yolks,\xa0at\xa0room temperature\xa0', '2 1/4 cups light brown sugar\xa0', '1 1/4 cup sour cream,\xa0at\xa0room temperature\xa0', '2/3 cup vegetable oil\xa0', '1 tablespoon\xa0pure\xa0vanilla extract\xa0', '1 1/4 teaspoon kosher salt\xa0']",5,19
80,Strawberry Meringue Cake (Mostachon),10 servings,"['Nonstick cooking spray', '4 egg whites', '1 cup granulated sugar', '1 teaspoon vanilla extract', '1/2 teaspoon baking powder', 'Pinch salt', '1 cup chopped walnuts', 'One 15.8-ounce pack Maria crackers, chopped']",5,34
81,Carrot Cake-Cheesecake,10 to 12 servings,"['1/2 cup pecan halves, plus more, chopped, for garnish', '1 cup all-purpose flour', '1 teaspoon baking powder', '3/4 teaspoon baking soda', '1 teaspoon ground cinnamon', '1/2 teaspoon ground ginger', 'Kosher salt', '1/2 cup vegetable oil', '1/2 cup sugar', '2 large eggs', '1 1/2 cups shredded carrot (2 to 3 medium carrots)', 'Three 8-ounce packages cream cheese, softened', '2/3 cup sour cream', '2/3 cup granulated sugar', '3 large eggs', '3 tablespoons all-purpose flour', '1 teaspoon lemon zest plus 2 tablespoons lemon juice (from 1 lemon)', '1 teaspoon pure vanilla extract', ""1/2 cup confectioners' sugar"", '2 tablespoons sour cream', '1/4 teaspoon pure vanilla extract', 'Pinch kosher salt']",4.5,38
82,Classic White Cake,NA,"['12 tablespoons (1 1/2 sticks) unsalted butter, softened', '1 1/2 cups sugar', '2 cups all-purpose flour', '2 teaspoons baking powder', '1/4 teaspoon salt', '6 large egg whites (3/4 cup)', '3/4 cup milk', '2 teaspoons vanilla extract']",4,124
83,Pineapple Upside-Down Cake,6 servings,"['3 tablespoons butter', '1/2 cup light brown sugar, packed\\xa0', '9 slices canned pineapple in juice, drained\\xa0', '5 maraschino cherries\\xa0', '1 1/2 cups sifted all-purpose flour\\xa0', '2 teaspoons baking powder\\xa0', '1/4 teaspoon salt\\xa0', '1/3 cup solid vegetable shortening\\xa0', '2/3 cup granulated sugar\\xa0', '1 large egg\\xa0', '3/4 teaspoon vanilla extract\\xa0', '2/3 cup milk\\xa0']",4.5,61
84,Flag Cake,20 to 24 servings,"['18 tablespoons (2 1/4 sticks) unsalted butter at room temperature', '3 cups sugar', '6 extra-large eggs at room temperature', '1 cup sour cream at room temperature', '1 1/2 teaspoons pure vanilla extract', '3 cups flour', '1/3 cup cornstarch', '1 teaspoon kosher salt', '1 teaspoon baking soda', '1 pound (4 sticks) unsalted butter at room temperature', '1 1/2 pounds cream cheese at room temperature', ""1 pound confectioners' sugar, sifted"", '1 1/2 teaspoons pure vanilla extract', '2 half-pints blueberries', '3 half-pints raspberries']",5,197
85,Italian Wedding Cake,12 servings,"['1 (18.25-ounce) box white cake mix (recommended: Betty Crocker)', '1 stick butter, softened', '1 1/4 cups buttermilk', '3 egg whites', '1 tablespoon vanilla extract (recommended: McCormick)', '1/4 teaspoon almond extract (recommended: McCormick)', '1 (8-ounce) can crushed pineapple, drained (recommended: Dole)', ""1/2 cup sweetened flake coconut (recommended: Baker\\'s)"", '2 cups chopped pecans, divided (recommended: Diamond)', '2 (16-ounce) cans cream cheese frosting (recommended: Betty Crocker)']",4.5,86
86,Chocoflan,10 servings,"['Softened butter, to coat pan', '1/4 cup cajeta or caramel sauce', '10 tablespoons butter, room temperature', '1 cup sugar', '1 egg, room temperature', '1 3/4 cups all-purpose flour', '3/4 teaspoon baking powder', '3/4 teaspoon baking soda', '1/3 cup cocoa powder', '1 1/4 cups buttermilk', 'One 12-ounce can evaporated milk', 'One 14-ounce can sweetened condensed milk', '4 ounces cream cheese, room temperature', '3 eggs', '1 tablespoon vanilla extract', '1/4 cup cajeta or caramel sauce', '1/4 cup chopped pecans']",4.5,549
87,Rum Cake - Semi-Homemaker Recipe,8 servings,"['1 1/2 cups pecan pieces, reserve 1/4 cup', '4 whole eggs', '1/2 cup water', '1/2 cup canola oil', '1/2 cup gold rum, Bacardi', '1 (18.25-ounce) box classic yellow cake mix (recommended: Duncan Hines Moist Deluxe)', '1 (1-ounce) small box sugar-free instant vanilla pudding mix (recommended: Jell-O)', '1 cup granulated sugar', '1/4 cup water', '1 stick butter', '1/2 cup gold rum (recommended: Bacardi)']",5,125
88,Sheet Pan Crumb Cake,10 to 12 servings,"['1 1/2 cups packed dark brown sugar', '2/3 cup granulated sugar', '1 tablespoon ground cinnamon', '1 teaspoon kosher salt', '2 sticks (1 cup) unsalted butter, melted', ""3 cups all-purpose flour (see Cook's Note)"", 'Nonstick cooking spray, for the baking sheet', ""3 cups all-purpose flour (see Cook's Note)"", '1 3/4 teaspoons baking powder', '3/4 teaspoon baking soda', '1 teaspoon kosher salt', '1 1/2 sticks (3/4 cup) unsalted butter, at room temperature', '1 3/4 cups granulated sugar', '3 large eggs', '1 tablespoon pure vanilla extract', '1 1/4 cups sour cream']",4,10
89,Lemon Meringue Cake,8 to 10 servings,"['3/4 cup sugar', '6 large egg yolks', '1/3 cup fresh lemon juice', '1 tablespoon finely grated lemon zest', '1 tablespoon plus 1 teaspoon cornstarch', 'Pinch of salt', '6 tablespoons cold unsalted butter, cut into small pieces', '4 large egg whites', '1 cup sugar', 'Pinch of cream of tartar', '1/2 teaspoon vanilla extract', 'Basic Vanilla Cake, recipe follows, baked and cooled', '2 sticks unsalted butter, at room temperature, plus more for the pans', '3 cups all-purpose flour, plus more for the pans', '1 tablespoon baking powder', '1/2 teaspoon salt', '1 1/2 cups sugar', '4 large eggs, at room temperature', '1 tablespoon vanilla extract', '3/4 cup heavy cream']",5,3
90,Lemon Poppy Seed Cake,10 to 12 servings,"['1 cup buttermilk, shaken', '1/3 cup poppy seeds (1.75 ounces)\xa0', ""Nonstick baking spray with flour, such as Baker's Joy\xa0"", '1/2 pound (2 sticks) unsalted butter, at room temperature\xa0', '2 1/2 cups granulated sugar, divided\xa0', '4 extra-large eggs, at room temperature\xa0', '1 teaspoon pure vanilla extract\xa0', '1/3 cup grated lemon zest, loosely packed (4 to 5 large lemons)\xa0', '2 3/4 cups all-purpose flour\xa0', '1/4 cup cornstarch\xa0', '1 teaspoon kosher salt\xa0', '1/2 teaspoon baking powder\xa0', '1/2 teaspoon baking soda\xa0', '3/4 cup freshly squeezed lemon juice, divided\xa0', ""1 cup sifted confectioners' sugar"", '1 1/2 tablespoons freshly squeezed lemon juice\xa0']",5,21
91,Fluffy Confetti Birthday Cake,12 servings,"['1 stick (8 tablespoons) unsalted butter, at room temperature, plus more for the pans', ""2 3/4 cups all-purpose flour, plus more for the pans (See Cook's Note)"", '1 teaspoon baking powder', '1 teaspoon fine salt', '2 cups granulated sugar', '1/2 cup vegetable oil', '5 large eggs, at room temperature', '1 tablespoon pure vanilla extract', '1 cup milk', '3 tablespoons rainbow sprinkles or jimmies, plus more for decorating']",4,36
92,Red Velvet Cake,6 to 8 servings,"['2 1/2 cups all-purpose flour (recommended: White Lily)', '1 teaspoon baking soda', '1 teaspoon cocoa', '1 1/2 cups granulated sugar', '2 eggs', '1 1/2 cups canola oil', '1 teaspoon vinegar', '1 (1-ounce) bottle red food coloring', '1 teaspoon vanilla', '1 cup buttermilk', '1/2 cup margarine', '1 (8-ounce) package cream cheese', ""1 box confectioners' sugar, sifted"", '1/2 teaspoon vanilla', '1 cup chopped lightly toasted pecans']",4,180
